cle,port_id,libelles,unlocode,n
791,791,"La Romana, Dominicana",,5
4482,4482,"Basel, Zurich, Switzerland",,3
3920,3920,"Kehl-Strasbourg, Germany Baden-Wurttemberg",,3
4013,4013,"Speyer, Germany Rhineland-Palatinate",,3
3984,3984,"Koblenz, Germany Rhineland-Palatinate",,3
2209,2209,"Providence RI, Rhode Island",,3
81,81,"Civitavecchia-Rome, Italy",,3
115,115,"Southampton, England",,3
9068,9068,"Catalina Island, Dominicana",,3
2382,2382,"Fort-de-France, Martinique",,3
3739,3739,"Porto-Leixoes, Oporto, Portugal",,2
4338,4338,"Regua, Portugal, Lamego",,2
4337,4337,"Pinhao, Portugal, Favaios",,2
3988,3988,"Mainz, Germany Rhineland-Palatinate",,2
13464,13464,"Winningen-Mosel, Germany Rhineland-Palatinate",,2
3974,3974,"Cochem, Germany Rhineland-Palatinate",,2
274,274,"Bernkastel-Kues, Germany Rhineland-Palatinate",,2
4017,4017,"Trier, Germany Rhineland-Palatinate",,2
2207,2207,"Martha's Vineyard Island, Oak Bluffs, Massachusetts",,2
223,223,"Marmaris, Turkey",,2
545,545,"Reykjavik, Iceland",,2
1143,1143,"Grundarfjordur, Iceland",,2
703,703,"Isafjordur, Westfjords Iceland",,2
702,702,"Akureyri, Iceland, Lake Myvatn",,2
1983,1983,"Runavik, Eysturoy, Faroe Islands",,2
701,701,"Lerwick, Mainland Shetland, Scotland",,2
671,671,"Invergordon, Scotland",,2
116,116,"Leith-Edinburgh, Newhaven-Rosyth-Queensferry, Scotland",,2
1070,1070,"Killybegs, Ireland",,2
114,114,"Belfast, Northern Ireland",,2
558,558,"Cobh-Cork, Ireland",,2
28,28,"Bridgetown, Barbados",,2
941,941,"Pointe-a-Pitre, Grande-Terre Island Guadeloupe",,2
35,35,"Tortola Island BVI, Road Town, UK Virgin Islands",,2
4091,4091,"Budapest, Hungary",,2
4899,4899,"Barca d'Alva, Portugal, Castelo Rodrigo",,1
4447,4447,"Vega de Terron-Salamanca, Spain",,1
2208,2208,"Nantucket MA, Massachusetts",,1
2244,2244,"Block Island RI, Rhode Island",,1
542,542,"Newport RI, Rhode Island",,1
5239,5239,"Bristol RI, Rhode Island",,1
69,69,"Santorini Island, Thira, Greece",,1
625,625,"Naples, Italy",,1
64,64,"Mykonos Island, Greece",,1
557,557,"Galway, Ireland",,1
13560,13560,"Dun Laoghaire, Ireland",,1
9066,9066,"Falmouth UK, England",,1
141,141,"Livorno, Florence-Pisa, Italy",,1
62,62,"Cannes, France Riviera",,1
82,82,"Barcelona, Spain",,1
146,146,"Ibiza, Ibiza Island Balearic Spain",,1
166,166,"Cagliari, Sardinia Italy",,1
79,79,"Venice, Marghera-Fusina, Italy",,1
294,294,"Opatija, Croatia",,1
300,300,"Zadar, Croatia",,1
235,235,"Sibenik, Croatia",,1
726,726,"Hvar Island Croatia, Stari Grad-Hvar Town",,1
137,137,"Dubrovnik, Croatia, Port Gruz",,1
682,682,"Kotor, Montenegro",,1
17202,17202,"Souda-Chania, Crete Greece",,1
80,80,"Piraeus-Athens, Greece",,1
983,983,"Virgin Gorda Island BVI, Spanish Town, UK Virgin Islands",,1
594,594,"Philipsburg St Maarten, Netherlands Antilles",,1
37,37,"St Johns Antigua, RCI Royal Beach Club",,1
3973,3973,"Breisach am Rhein, Germany Baden-Wurttemberg",,1
1193,1193,"Rudesheim am Rhein, Germany Hesse",,1
3975,3975,"Cologne, Koln, Germany North Rhine-Westphalia",,1
4261,4261,"Kinderdijk, Netherlands South Holland",,1
56,56,"Amsterdam, Netherlands North Holland",,1
2099,2099,"Bratislava, Slovakia",,1
3609,3609,"Vienna, Wien, Austria",,1
1733,1733,"Weissenkirchen in der Wachau, Austria",,1
2326,2326,"Grein, Austria",,1
1202,1202,"Linz, Austria",,1
4000,4000,"Passau, Germany Bavaria",,1
1204,1204,"Vilshofen an der Donau, Germany Bavaria",,1
553,553,"Greenock-Glasgow, Clydeport, Scotland",,1
1380,1380,"Fort William, Scotland",,1
1164,1164,"Isle of Mull, Craignure-Fionnphort-Tobermory, Scotland",,1
775,775,"Stornoway, Isle of Lewis and Harris, Scotland",,1
9043,9043,"Greencastle-Londonderry, Foyle Port, Northern Ireland",,1
1082,1082,"Foynes, Ireland",,1
1050,1050,"Fowey, England",,1
8996,8996,"Isle of Portland, Weymouth, Dorset England",,1
118,118,"Dover, England",,1
11075,11075,"London-Greenwich, England",,1
4093,4093,"Mohacs, Villany-Pecs, Hungary",,1
4689,4689,"Vukovar, Croatia",,1
2107,2107,"Belgrade, Serbia",,1
4354,4354,"Iron Gate, Serbia-Romania",,1
133,133,"Vidin, Bulgaria",,1
2110,2110,"Ruse, Rousse-Russe, Bulgaria",,1
4352,4352,"Giurgiu, Romania",,1
