departure_date,ship_name,ship_id,ship_url,itinerary,departure_port,price_from,source_url
2028-07-17,Viking Hemming,941,https://www.cruisemapper.com/ships/Viking-Hemming-941,"7 days, round-trip Portugals River of Gold",$3995,,https://www.cruisemapper.com/cruise-search?portRegion=0&type=0&portDeparture=&portOfCall=&ship=&line=&duration=0&departureFrom=17-Jul-2028&price=10000&finder=cruise
2028-07-17,Viking Herja,1361,https://www.cruisemapper.com/ships/Viking-Herja-1361,"7 days, one-way from Basel to Trier",$3395,,https://www.cruisemapper.com/cruise-search?portRegion=0&type=0&portDeparture=&portOfCall=&ship=&line=&duration=0&departureFrom=17-Jul-2028&price=10000&finder=cruise
2028-07-17,ACL American Glory,2225,https://www.cruisemapper.com/ships/ACL-American-Glory-2225,"7 days, round-trip 8 Night New England Islands Cruise and Land Tour",$6350,,https://www.cruisemapper.com/cruise-search?portRegion=0&type=0&portDeparture=&portOfCall=&ship=&line=&duration=0&departureFrom=17-Jul-2028&price=10000&finder=cruise
2028-07-17,MSC Divina,549,https://www.cruisemapper.com/ships/MSC-Divina-549,"7 days, round-trip Mediterranean Msc Divina Marmaris",$2576,,https://www.cruisemapper.com/cruise-search?portRegion=0&type=0&portDeparture=&portOfCall=&ship=&line=&duration=0&departureFrom=17-Jul-2028&price=10000&finder=cruise
2028-07-17,Caribbean Princess,558,https://www.cruisemapper.com/ships/Caribbean-Princess-558,"10 days, one-way from Reykjavik to Southampton",$3062,,https://www.cruisemapper.com/cruise-search?portRegion=0&type=0&portDeparture=&portOfCall=&ship=&line=&duration=0&departureFrom=17-Jul-2028&price=10000&finder=cruise
2028-07-17,Caribbean Princess,558,https://www.cruisemapper.com/ships/Caribbean-Princess-558,"18 days, one-way from Reykjavik to Southampton",$4902,,https://www.cruisemapper.com/cruise-search?portRegion=0&type=0&portDeparture=&portOfCall=&ship=&line=&duration=0&departureFrom=17-Jul-2028&price=10000&finder=cruise
2028-07-17,MSC Fantasia,736,https://www.cruisemapper.com/ships/MSC-Fantasia-736,"7 days, round-trip Western Mediterranean Msc Fantasia Civitavecchia Rome",$2530,,https://www.cruisemapper.com/cruise-search?portRegion=0&type=0&portDeparture=&portOfCall=&ship=&line=&duration=0&departureFrom=17-Jul-2028&price=10000&finder=cruise
2028-07-17,Viking Hild,1362,https://www.cruisemapper.com/ships/Viking-Hild-1362,"7 days, one-way from Trier to Basel",$3395,,https://www.cruisemapper.com/cruise-search?portRegion=0&type=0&portDeparture=&portOfCall=&ship=&line=&duration=0&departureFrom=17-Jul-2028&price=10000&finder=cruise
2028-07-17,Azamara Onward,589,https://www.cruisemapper.com/ships/Azamara-Onward-589,"9 days, one-way from Venice to Piraeus-Athens",$6306,,https://www.cruisemapper.com/cruise-search?portRegion=0&type=0&portDeparture=&portOfCall=&ship=&line=&duration=0&departureFrom=17-Jul-2028&price=10000&finder=cruise
2028-07-17,MSC Opera,627,https://www.cruisemapper.com/ships/MSC-Opera-627,"7 days, round-trip Eastern Caribbean Msc Opera La Romana",$1890,,https://www.cruisemapper.com/cruise-search?portRegion=0&type=0&portDeparture=&portOfCall=&ship=&line=&duration=0&departureFrom=17-Jul-2028&price=10000&finder=cruise
2028-07-17,MSC Opera,627,https://www.cruisemapper.com/ships/MSC-Opera-627,"14 days, round-trip Eastern Caribbean Msc Opera La Romana",$3941,,https://www.cruisemapper.com/cruise-search?portRegion=0&type=0&portDeparture=&portOfCall=&ship=&line=&duration=0&departureFrom=17-Jul-2028&price=10000&finder=cruise
2028-07-17,Viking Sjofn,2311,https://www.cruisemapper.com/ships/Viking-Sjofn-2311,"7 days, one-way from Basel to Amsterdam",$2295,,https://www.cruisemapper.com/cruise-search?portRegion=0&type=0&portDeparture=&portOfCall=&ship=&line=&duration=0&departureFrom=17-Jul-2028&price=10000&finder=cruise
2028-07-17,AmaVerde,1004,https://www.cruisemapper.com/ships/AmaVerde-1004,"7 days, one-way from Budapest to Vilshofen an der Donau",$3315,,https://www.cruisemapper.com/cruise-search?portRegion=0&type=0&portDeparture=&portOfCall=&ship=&line=&duration=0&departureFrom=17-Jul-2028&price=10000&finder=cruise
2028-07-17,Viking Lyra,2263,https://www.cruisemapper.com/ships/Viking-Lyra-2263,"12 days, one-way from Belfast to London-Greenwich",$8299,,https://www.cruisemapper.com/cruise-search?portRegion=0&type=0&portDeparture=&portOfCall=&ship=&line=&duration=0&departureFrom=17-Jul-2028&price=10000&finder=cruise
2028-07-17,AmaBella,986,https://www.cruisemapper.com/ships/AmaBella-986,"7 days, one-way from Budapest to Giurgiu",$3515,,https://www.cruisemapper.com/cruise-search?portRegion=0&type=0&portDeparture=&portOfCall=&ship=&line=&duration=0&departureFrom=17-Jul-2028&price=10000&finder=cruise
