cle,port_id,libelles,unlocode,n
115,115,"Southampton, England",,25
40,40,"Miami, Florida",,22
407,407,"Juneau, Alaska",,21
6,6,"Seattle, Washington",,20
409,409,"Ketchikan, Revillagigedo Island Alaska",,19
81,81,"Civitavecchia-Rome, Italy",,18
82,82,"Barcelona, Spain",,17
4,4,"Vancouver, BC Canada",,14
408,408,"Skagway, Alaska",,13
42,42,"Port Canaveral, Orlando, Florida",,13
60,60,"Corfu Island, Kerkyra, Greece",,12
80,80,"Piraeus-Athens, Greece",,12
58,58,"Copenhagen, Denmark",,12
126,126,"Sitka, Baranof Island Alaska",,12
27,27,"Nassau, Bahamas, New Providence Island",,12
625,625,"Naples, Italy",,11
378,378,"Paris City, France",,11
77,77,"Palma de Mallorca, Majorca Island Balearic Spain",,10
392,392,"Coco Cay, Bahamas, Royal Caribbean",,10
1705,1705,"Endicott Arm Fjord, Alaska",,10
26,26,"Cozumel, Mexico, Riviera Maya",,10
69,69,"Santorini Island, Thira, Greece",,9
3,3,"Victoria BC, Vancouver Island Canada",,9
2091,2091,"Icy Strait Point, Hoonah, Alaska",,9
724,724,"Valletta, Malta",,8
56,56,"Amsterdam, Netherlands North Holland",,8
86,86,"Los Angeles, Long Beach-San Pedro, California",,8
3975,3975,"Cologne, Koln, Germany North Rhine-Westphalia",,8
65,65,"Lisbon, Portugal",,8
46,46,"Tallinn, Estonia",,7
49,49,"Helsinki, Finland",,7
64,64,"Mykonos Island, Greece",,7
682,682,"Kotor, Montenegro",,7
137,137,"Dubrovnik, Croatia, Port Gruz",,7
5468,5468,"Inside Passage, Alaska-Canada",,7
627,627,"Cadiz, Spain, Sevilla",,7
118,118,"Dover, England",,7
623,623,"Kusadasi, Ephesus, Turkey",,7
494,494,"Glacier Bay, Alaska",,7
406,406,"Hubbard Glacier, Alaska",,7
3984,3984,"Koblenz, Germany Rhineland-Palatinate",,7
3609,3609,"Vienna, Wien, Austria",,7
148,148,"Giardini Naxos-Taormina, Sicily Italy",,6
52,52,"Warnemunde-Rostock, Germany",,6
548,548,"Bergen, Norway",,6
44,44,"Fort Lauderdale, Port Everglades, Florida",,6
59,59,"Stockholm, Sweden",,6
136,136,"Gdynia-Gdansk, Poland",,6
116,116,"Leith-Edinburgh, Newhaven-Rosyth-Queensferry, Scotland",,6
88,88,"Galveston, Texas",,6
455,455,"Costa Maya, Mexico | Costa Maya, Mexico, Riviera Maya",,6
29,29,"Roatan Island, Carnival Isla Tropicale-Coxen Hole, Honduras",,6
545,545,"Reykjavik, Iceland",,6
4482,4482,"Basel, Zurich, Switzerland",,6
4000,4000,"Passau, Germany Bavaria",,6
4091,4091,"Budapest, Hungary",,6
coastal-cruising,,coastal cruising,,5
101,101,"Boston, Massachusetts",,5
17202,17202,"Souda-Chania, Crete Greece",,5
146,146,"Ibiza, Ibiza Island Balearic Spain",,5
564,564,"La Coruna, Spain Galicia",,5
119,119,"Liverpool, England",,5
3920,3920,"Kehl-Strasbourg, Germany Baden-Wurttemberg",,5
3937,3937,"Rouen, France",,5
219,219,"Honfleur, France",,5
3607,3607,"Melk, Austria",,5
3997,3997,"Nuremberg, Nurnberg, Germany Bavaria",,5
1193,1193,"Rudesheim am Rhein, Germany Hesse",,5
141,141,"Livorno, Florence-Pisa, Italy",,5
5231,5231,"MSC Ocean Cay, Bahamas private island",,5
67,67,"Ajaccio, Corsica France",,5
4261,4261,"Kinderdijk, Netherlands South Holland",,5
72,72,"Katakolon, Olympia, Greece",,4
75,75,"Malaga, Spain Granada",,4
4030,4030,Gibraltar,,4
837,837,"Skjolden, Sognefjord, Norway",,4
263,263,"Visby, Gotland Island Sweden",,4
672,672,"Kirkwall, Orkney Island Scotland",,4
43,43,"New Orleans, Port NOLA Louisiana | New Orleans, Port NOLA, Louisiana",,4
139,139,"Rhodes Island, Greece",,4
78,78,"Villefranche-sur-Mer, Nice, France Riviera",,4
97,97,"Halifax, Nova Scotia Canada",,4
3973,3973,"Breisach am Rhein, Germany Baden-Wurttemberg",,4
3928,3928,"Vernon, France",,4
3872,3872,"Les Andelys, France",,4
10133,10133,"Cape Liberty Bayonne, New Jersey",,4
68,68,"Marseille, France Riviera",,4
38,38,"Tampa, Florida",,4
756,756,"Haines, Alaska",,4
73,73,"Bari, Italy",,4
4013,4013,"Speyer, Germany Rhineland-Palatinate",,4
4006,4006,"Regensburg, Germany Bavaria",,4
1133,1133,"Cape Cod Canal, Massachusetts",,3
1235,1235,"Kefalonia Island, Argostoli-Fiskardo, Greece",,3
338,338,"Cartagena Spain, Murcia",,3
160,160,"La Spezia, Italy Riviera",,3
268,268,"Bornholm Island Denmark, Ronne-Gudhjem",,3
10,10,Singapore,,3
745,745,"Vigo, Spain Galicia",,3
558,558,"Cobh-Cork, Ireland",,3
114,114,"Belfast, Northern Ireland",,3
553,553,"Greenock-Glasgow, Clydeport, Scotland",,3
45,45,"Kiel, Germany",,3
473,473,"Cabo San Lucas, Baja California Mexico",,3
110,110,"Kings Wharf, Bermuda",,3
1517,1517,"Ensenada, Baja California Mexico",,3
1936,1936,"Puerto Plata-Amber Cove, Dominicana",,3
703,703,"Isafjordur, Westfjords Iceland",,3
701,701,"Lerwick, Mainland Shetland, Scotland",,3
662,662,"Quebec City, Canada",,3
704,704,"Prince Edward Island, Charlottetown, Canada",,3
3667,3667,"Sydney NS, Nova Scotia Canada",,3
811,811,"Disney Castaway Cay, Bahamas DCL private island",,3
53,53,"Riga, Latvia",,3
671,671,"Invergordon, Scotland",,3
cruising-fjords-norway-norwegian,,"Norwegian fjords cruising, Norway",,3
746,746,"Olden, Norway",,3
1361,1361,"Flam, Norway",,3
239,239,"Haugesund, Norway",,3
2099,2099,"Bratislava, Slovakia",,3
2609,2609,"Wachau Valley, Austria",,3
3605,3605,"Durnstein, Austria",,3
3969,3969,"Bamberg, Germany Bavaria",,3
4025,4025,"Wurzburg, Germany Bavaria",,3
156,156,"Alesund, Norway",,3
61,61,"Genoa, Milan, Italy Riviera",,3
70,70,"Messina, Sicily Italy",,3
alaska-strait-sumner,,Sumner Strait Alaska,,3
71,71,"Istanbul, Turkey, Galataport",,3
1,1,"Seward, Alaska",,3
flight,,flight,,3
9510,9510,"St Lawrence Seaway, Canada",,3
4662,4662,"Portland OR, Oregon",,2
241,241,"Catania, Sicily Italy",,2
464,464,"Basseterre St Kitts, Port Zante",,2
604,604,"St Thomas Island USVI, Charlotte Amalie, US Virgin Islands",,2
3198,3198,"Dundee, Scotland",,2
48,48,"Aarhus, Denmark",,2
526,526,"Komodo Island Indonesia, East Nusa Tenggara",,2
697,697,"Bilbao-Getxo, Spain Biscay Basque Country",,2
813,813,"Heraklion, Crete Greece",,2
74,74,"Split, Croatia",,2
413,413,"Prince Rupert BC, Kaien Island Canada",,2
2144,2144,"Celebration Key Bahamas, Carnival Grand Bahama Island",,2
22,22,"Brisbane, Queensland Australia",,2
307,307,"Nynashamn, Sweden",,2
121,121,"Key West, Florida",,2
855,855,"Mazatlan, Sinaloa, Mexico Riviera",,2
33,33,"Baltimore, Maryland",,2
35,35,"Tortola Island BVI, Road Town, UK Virgin Islands",,2
345,345,"Thessaloniki, Greece",,2
1357,1357,"Seydisfjordur, Iceland",,2
702,702,"Akureyri, Iceland, Lake Myvatn",,2
20,20,"Auckland, New Zealand",,2
1013,1013,"Las Palmas de Gran Canaria, Canary Islands",,2
47,47,"Le Havre-Paris, France",,2
